"Benchmark","Mode","Threads","Samples","Score","Score Error (90.0%)","Relative Score Error (90.0%)","Score Error (95.0%)","Relative Score Error (95.0%)","Score Error (99.9%)","Relative Score Error (99.9%)","Median Score","Median Absolute Deviation","Relative Median Absolute Deviation","Unit","Param: dataType","Param: multimapValueSize","Param: producer","Param: run","Param: sampleDataSelection","Param: size","Param: stepSizeOneToOneSelector","Param: valueFactoryFactory"
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,9.958992,0.074690,0.007500,0.092172,0.009255,0.194798,0.019560,9.920176,0.120894,0.012187,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,4,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,11.181389,0.059306,0.005304,0.073186,0.006545,0.154674,0.013833,11.120657,0.018021,0.001621,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,8,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,12.478578,0.066406,0.005322,0.081949,0.006567,0.173192,0.013879,12.446654,0.027594,0.002217,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,8,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,10.057359,0.045704,0.004544,0.056402,0.005608,0.119201,0.011852,10.039329,0.030741,0.003062,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,16,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,10.835636,0.072333,0.006675,0.089263,0.008238,0.188651,0.017410,10.788094,0.066507,0.006165,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,16,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,14.973606,0.092029,0.006146,0.113569,0.007585,0.240019,0.016029,14.896244,0.016889,0.001134,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,32,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,16.341841,0.233937,0.014315,0.288690,0.017666,0.610126,0.037335,16.131963,0.064520,0.003999,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,32,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,16.150247,0.096736,0.005990,0.119378,0.007392,0.252297,0.015622,16.156376,0.141209,0.008740,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,64,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,17.166409,0.106534,0.006206,0.131468,0.007658,0.277850,0.016186,17.055195,0.013313,0.000781,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,64,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,17.324877,0.081852,0.004725,0.101010,0.005830,0.213477,0.012322,17.275371,0.030404,0.001760,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,128,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,18.540106,0.031722,0.001711,0.039147,0.002111,0.082735,0.004462,18.531965,0.034583,0.001866,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,128,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,16.935506,0.118545,0.007000,0.146290,0.008638,0.309175,0.018256,17.013495,0.098116,0.005767,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,256,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,20.394544,0.089644,0.004396,0.110626,0.005424,0.233800,0.011464,20.373751,0.011043,0.000542,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,256,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,15.735630,0.084717,0.005384,0.104545,0.006644,0.220949,0.014041,15.649890,0.006384,0.000408,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,512,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,18.825759,0.087919,0.004670,0.108497,0.005763,0.229300,0.012180,18.762913,0.012261,0.000653,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,512,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,17.850719,0.035552,0.001992,0.043873,0.002458,0.092722,0.005194,17.862192,0.025212,0.001411,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,1024,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,22.006128,0.153057,0.006955,0.188880,0.008583,0.399185,0.018140,21.967619,0.179003,0.008149,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,1024,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,19.861095,0.046371,0.002335,0.057224,0.002881,0.120939,0.006089,19.855732,0.036279,0.001827,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,2048,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,24.081776,0.028737,0.001193,0.035463,0.001473,0.074949,0.003112,24.072619,0.023355,0.000970,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,2048,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,21.242683,0.142968,0.006730,0.176430,0.008305,0.372873,0.017553,21.181593,0.208059,0.009823,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,4096,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,25.718385,0.152694,0.005937,0.188432,0.007327,0.398239,0.015485,25.671967,0.196231,0.007644,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,4096,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,20.309863,0.160938,0.007924,0.198606,0.009779,0.419740,0.020667,20.227531,0.119444,0.005905,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,8192,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,24.874977,0.180052,0.007238,0.222194,0.008932,0.469591,0.018878,24.685929,0.036344,0.001472,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,8192,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,20.865686,0.110524,0.005297,0.136392,0.006537,0.288255,0.013815,20.816003,0.062955,0.003024,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,16384,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,25.933663,0.173520,0.006691,0.214132,0.008257,0.452554,0.017450,26.018369,0.208349,0.008008,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,16384,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,24.749486,0.190650,0.007703,0.235272,0.009506,0.497231,0.020091,24.746166,0.248636,0.010047,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,32768,1,VF_CHAMP_MAP_AS_MULTIMAP
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,30.797907,0.214783,0.006974,0.265054,0.008606,0.560173,0.018189,30.854144,0.295341,0.009572,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,32768,1,VF_CHAMP_MULTIMAP_HHAMT
"io.usethesource.criterion.JmhSetMultimapBenchmarks.timeMapLikeContainsKeyNotContained","avgt",1,10,25.632200,0.147134,0.005740,0.181571,0.007084,0.383737,0.014971,25.552605,0.177323,0.006940,"ns/op",MAP,1,PDB_INTEGER,0,MATCH,65536,1,VF_CHAMP_MAP_AS_MULTIMAP
